School Name,Address,Grade Range,Student Body
Berkeley Carroll School,"181 Lincoln Pl, Brooklyn, NY 11217",Pre-K to 12,Coed
Brooklyn Friends School,"375 Pearl St, Brooklyn, NY 11201",K to 12,Coed
Brooklyn Heights Montessori School*,"185 Court St, Brooklyn, NY 11201",K to 8,Coed
"Buckley School (NY), The*","113 E 73rd St, New York, NY 10021",1 to 9,Male
"Calhoun School, The","433 West End Ave, New York, NY 10024",Pre-K to 12,Coed
"Cathedral School of St. John the Divine, The*","1047 Amsterdam Ave, New York, NY 10025",K to 8,Coed
"Chapin School, The","100 East End Ave, New York, NY 10028",K to 12,Female
City and Country School,"146 W 13th St, New York City, NY 10011",Pre-K to 8,Coed
Collegiate School,"301 Freedom Pl S, New York, NY 10069",K to 12,Male
Convent of the Sacred Heart (NY),"1 E 91st St, New York, NY 10128",Pre-K to 12,Female
Culver Academies,"1300 Academy Rd, Culver, IN 46511",K to 12,Female
"Dalton School, The","108 E 89th St, New York, NY 10128",K to 12,Coed
Dwight-Englewood School,"315 E Palisade Ave, Englewood, NJ 07631",Pre-K to 12,Coed
Fieldston School,"3901 Fieldston Rd, Bronx, NY 10471",6 to 12,Coed
Friends Seminary,"222 E 16th St, New York, NY 10003",K to 12,Coed
George Jackson Academy,"104 St Marks Pl, New York, NY 10009",4 to 8,Male
"Gooden School, The*","192 N Baldwin Ave, Sierra Madre, CA 91024",4 to 8,Male
Grace Church School,"46 Cooper Sq, New York City, NY 10003",Pre-K to 12,Coed
Hackley School*,"293 Benedict Ave, Tarrytown, NY 10591",K to 12,Coed
Hewitt School,"45 E 75th St, New York, NY 10021",K to 12,Female
"Hudson School, The","601 Park Ave, Hoboken, NJ 07030",5 to 12,Coed
Kent Place School*,"42 Norwood Ave, Summit, NJ 07902",K to 12,Female
"Kew-Forest School, The","119-17 Union Turnpike, Forest Hills, NY 11375",Pre-K to 12,Coed
L.R.E.I. Lower and Middle,"272 6th Ave, New York, NY 10014",K to 8,Coed
L.R.E.I. High,"40 Charlton St, New York, NY 10014",9 to 12,Coed
Newark Academy,"91 S Orange Ave, Livingston, NJ 07039",6 to 12,Coed
"Nightingale-Bamford School, The","20 E 92nd St, New York, NY 10128",K to 12,Female
"Packer Collegiate Institute, The","170 Joralemon St, Brooklyn, NY 11201",Pre-K to 12,Coed
Poly Prep Country Day School,"9216 7th Ave, Brooklyn, NY 11228",K to 12,Coed
"Red Oaks School, The*","21 Cutler St, Morristown, NJ 07960",Pre-K to 8,Coed
Riverdale Country School,"5250 Fieldston Rd, Bronx, NY 10471",Pre-K to 12,Coed
Rudolf Steiner School,"15 E 79th St, New York, NY 10075",Pre-K to 12,Coed
Rye Country Day School,"3 Cedar St, Rye, NY 10580",Pre-K to 12,Coed
School of the Holy Child*,"2225 Westchester Ave, Rye, NY 10580",5 to 12,Female
"Spence School, The","22 E 91st St, New York, NY 10128",K to 12,Female
St. David's School*,"12 E 89th St, New York, NY 10128",Pre-K to 8,Male
St. Luke's School (NY)*,"487 Hudson St, New York City, NY 10014",Pre-K to 8,Coed
Staten Island Academy*,"715 Todt Hill Rd, Staten Island, NY 10304",Pre-K to 12,Coed
"Town School, The*","540 E 76th St, New York, NY 10021",K to 8,Coed
Trevor Day School,"312 E 95th St, New York, NY 10128",Pre-K to 12,Coed
Village Community School,"272 W 10th St, New York City, NY 10014",K to 8,Coed
"Waldorf School of Garden City, The*","225 Cambridge Ave, Garden City, NY 11530",Pre-K to 12,Coed
