School Name,Address,Grade Range,Student Body
Beaver Country Day School,"791 Hammond St, Chestnut Hill, MA 02467",6 to 12,Coed
Belmont Hill School,"350 Prospect St, Belmont, MA 02478",7 to 12,Male
Boston University Academy,Boston University,9 to 12,Coed
Commonwealth School,"151 Commonwealth Avenue, Boston, MA 02116",9 to 12,Coed
Convent of the Sacred Heart (CT)*,"1177 King St, Greenwich, CT 06831",Pre-K to 12,Female
Greens Farms Academy,"35 Beachside Ave, Westport, CT 06880",Pre-K to 12,Coed
Hamden Hall Country Day School,"1108 Whitney Ave, Hamden, CT 06517",Pre-K to 12,Coed
Hopkins School,"986 Forest Rd, New Haven, CT 06515",7 to 12,Coed
Lexington Christian Academy,"48 Bartlett Ave, Lexington, MA 02420",6 to 12,Coed
Noble and Greenough School,"10 Campus Dr, Dedham, MA 02026",7 to 12,Coed
"Rivers School, The","333 Winter St, Weston, MA 02493",6 to 12,Coed
"Roxbury Latin School, The*","101 St Theresa Ave, West Roxbury, MA 02132",7 to 12,Male
St. Luke's School (CT)*,"377 N Wilton Rd, New Canaan, CT 06840",5 to 12,Coed
St. Sebastian's School*,"1191 Greendale Ave, Needham, MA 02492",7 to 12,Male
Thayer Academy,"745 Washington St, Braintree, MA 02184",6 to 12,Coed
Waring School*,"35 Standley St, Beverly, MA 01915",6 to 12,Coed
"Winsor School, The*","103 Pilgrim Rd, Boston, MA 02215",5 to 12,Female
